Term,Student Level,Total,Men,Women,Unreported Gender,Caucasian,Asian American,African American,Hispanic,Native American,International,Unreported Race,Illinois,Non-Illinois,Part time,Full time,Hawaiian/Pacific Isl,Multiracial,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian
su15,Graduate ,4788,2511,2273,4,1864,257,207,247,9,2056,74,1357,3431,1776,3012,5.0,69.0,254.0,44.0,7.0,309.0
su15,Professional ,200,69,131,0,123,11,8,11,0,25,18,129,71,69,131,0.0,4.0,11.0,1.0,1.0,14.0
fa16,Undergraduate ,33467,18350,15117,0,15467,5867,1961,3453,22,5537,149,24510,8957,927,32540,24.0,987.0,2344.0,292.0,138.0,6642.0
fa16,Graduate ,10428,5737,4690,1,3575,694,326,444,12,5097,107,2580,7848,648,9780,3.0,170.0,403.0,77.0,14.0,855.0
fa16,Professional ,985,340,645,0,679,72,30,52,1,66,67,566,419,9,976,0.0,18.0,39.0,5.0,2.0,88.0
sp16,Undergraduate ,31302,17380,13922,0,14998,5329,1684,2971,18,5161,216,23049,8253,1451,29851,22.0,903.0,2021.0,264.0,125.0,6052.0
sp16,Graduate ,9762,5358,4404,0,3618,610,334,414,14,4526,78,2656,7106,553,9209,5.0,163.0,411.0,79.0,15.0,735.0
sp16,Professional ,974,359,615,0,635,65,32,53,0,62,109,624,350,9,965,1.0,17.0,42.0,4.0,3.0,79.0
su16,Undergraduate ,6317,3498,2817,2,2818,1037,391,509,3,1328,36,4175,2142,3377,2940,4.0,191.0,483.0,47.0,20.0,1176.0
su16,Graduate ,4699,2506,2191,2,1779,283,195,257,8,2054,46,1320,3379,1705,2994,3.0,74.0,243.0,45.0,9.0,347.0
su16,Professional ,198,54,144,0,125,10,7,8,1,25,20,121,77,75,123,0.0,2.0,7.0,1.0,1.0,12.0
fa17,Undergraduate ,33624,18345,15267,12,15061,6053,1973,3748,16,5569,164,24595,9029,1011,32613,23.0,1017.0,2407.0,271.0,149.0,6869.0
fa17,Graduate ,13210,7173,6028,9,5009,1048,500,633,9,5451,326,3475,9735,1756,11454,6.0,228.0,612.0,93.0,23.0,1341.0
fa17,Professional ,992,352,640,0,708,70,26,58,0,64,43,558,434,1,991,0.0,23.0,33.0,7.0,0.0,89.0
sp17,Undergraduate ,31833,17352,14481,0,14779,5593,1815,3309,19,5201,143,23409,8424,1470,30363,22.0,952.0,2193.0,280.0,131.0,6352.0
sp17,Graduate ,11739,6349,5382,8,4645,853,418,535,14,4777,297,3368,8371,1458,10281,5.0,195.0,508.0,89.0,21.0,1094.0
sp17,Professional ,970,329,641,0,683,70,29,52,1,59,58,568,402,13,957,0.0,18.0,38.0,5.0,2.0,86.0
su17,Undergraduate ,6504,3561,2940,3,2820,1076,389,493,6,1419,90,4195,2309,3660,2844,1.0,210.0,497.0,54.0,24.0,1239.0
su17,Graduate ,6170,3247,2918,5,2617,513,288,346,8,2094,192,1821,4349,2498,3672,3.0,109.0,354.0,48.0,12.0,666.0
su17,Professional ,177,48,129,0,132,7,4,9,0,15,9,115,62,59,118,0.0,1.0,4.0,0.0,0.0,8.0
fa18,Undergraduate ,33673,18203,15450,20,14783,6242,2005,4003,17,5270,217,24977,8696,916,32757,29.0,1107.0,2473.0,299.0,190.0,7163.0
fa18,Graduate ,14672,8091,6561,20,5546,1378,598,821,7,5447,603,3737,10935,2282,12390,8.0,264.0,751.0,123.0,23.0,1849.0
fa18,Professional ,994,329,663,2,712,84,19,78,1,49,27,534,460,7,987,0.0,24.0,26.0,11.0,0.0,103.0
sp18,Undergraduate ,31859,17256,14587,16,14327,5779,1863,3530,16,5043,320,23399,8460,1576,30283,20.0,961.0,2263.0,275.0,139.0,6555.0
sp18,Graduate ,12979,7186,5782,11,5053,1153,505,667,7,4958,400,3484,9495,1948,11031,4.0,232.0,628.0,92.0,23.0,1525.0
sp18,Professional ,975,336,639,0,711,69,26,58,0,47,41,565,410,15,960,0.0,23.0,33.0,7.0,0.0,88.0
su18,Undergraduate ,6249,3349,2895,5,2579,1033,442,539,4,1329,117,3986,2263,3442,2807,9.0,197.0,525.0,52.0,32.0,1201.0
su18,Graduate ,7081,3863,3207,11,2921,701,332,427,4,2237,334,1917,5164,3087,3994,3.0,122.0,407.0,55.0,13.0,967.0
su18,Professional ,233,74,155,4,157,26,6,15,0,14,10,117,116,59,174,0.0,5.0,7.0,2.0,0.0,30.0
fa19,Undergraduate ,33850,18161,15672,17,14435,6372,2117,4301,9,5136,321,25181,8669,996,32854,21.0,1138.0,2642.0,317.0,173.0,7359.0
fa19,Graduate ,16319,9066,7231,22,5996,1435,673,940,8,5609,1354,4139,12180,2779,13540,7.0,297.0,891.0,157.0,26.0,2460.0
fa19,Professional ,1027,355,671,1,707,87,25,83,2,64,30,528,499,6,1021,0.0,29.0,36.0,13.0,3.0,109.0
sp19,Undergraduate ,31912,17121,14778,13,14115,5956,1892,3793,16,4872,187,23857,8055,1497,30415,25.0,1056.0,2329.0,305.0,171.0,6848.0
sp19,Graduate ,14344,7947,6377,20,5612,1464,599,833,7,4913,639,3770,10574,2414,11930,6.0,271.0,755.0,126.0,21.0,2026.0
sp19,Professional ,982,329,653,0,711,83,19,76,2,42,26,533,449,15,967,0.0,23.0,27.0,11.0,0.0,100.0
su19,Undergraduate ,6293,3312,2968,13,2522,1116,539,577,0,1219,116,4137,2156,3306,2987,1.0,203.0,619.0,54.0,23.0,1295.0
su19,Graduate ,8489,4784,3691,14,3477,987,415,565,3,2292,586,2215,6274,3634,4855,4.0,160.0,511.0,83.0,13.0,1494.0
su19,Professional ,266,92,173,1,170,46,8,16,1,13,6,106,160,45,221,0.0,6.0,10.0,4.0,1.0,52.0
fa20,Undergraduate ,33492,18001,15469,22,14017,6637,2134,4618,9,4458,427,25363,8129,1349,32143,13.0,1179.0,2720.0,355.0,177.0,7616.0
fa20,Graduate ,17802,10033,7733,36,6908,1839,838,1199,7,4870,1790,4788,13014,6913,10889,12.0,339.0,1039.0,182.0,38.0,2074.0
fa20,Professional ,1037,347,690,0,702,103,31,94,2,35,34,539,498,10,1027,0.0,36.0,44.0,12.0,4.0,132.0
sp20,Undergraduate ,32022,17056,14954,12,13782,6062,1979,4095,10,4713,274,23992,8030,1587,30435,17.0,1090.0,2487.0,320.0,165.0,6987.0
sp20,Graduate ,15915,8877,7010,28,5994,1502,669,967,5,5064,1414,4173,11742,3032,12883,9.0,291.0,891.0,157.0,29.0,2587.0
sp20,Professional ,1010,337,673,0,706,89,28,82,2,47,28,529,481,17,993,0.0,28.0,38.0,13.0,3.0,111.0
su20,Undergraduate ,7944,4220,3720,4,3147,1473,614,805,0,1415,199,5384,2560,4216,3728,4.0,287.0,751.0,82.0,43.0,1712.0
su20,Graduate ,10606,5942,4645,19,4316,1119,497,715,5,2423,1323,2801,7805,4674,5932,6.0,202.0,669.0,124.0,21.0,2100.0
su20,Professional ,316,117,199,0,184,47,11,24,1,20,12,131,185,62,254,0.0,17.0,16.0,6.0,2.0,61.0
fa21,Undergraduate ,34559,18612,15915,32,13864,7379,2087,4777,13,4716,440,25659,8900,1024,33535,13.0,1270.0,2669.0,365.0,167.0,8473.0
fa21,Graduate ,20525,11582,8875,68,7428,2390,889,1388,9,6706,1334,5193,15332,7969,12556,18.0,363.0,1116.0,169.0,54.0,2655.0
fa21,Professional ,1173,425,747,1,748,137,37,110,3,52,47,570,603,13,1160,1.0,38.0,48.0,14.0,6.0,163.0
sp21,Undergraduate ,32323,17398,14904,21,13403,6321,1986,4398,9,4369,707,24143,8180,2455,29868,14.0,1116.0,2537.0,342.0,169.0,7248.0
sp21,Graduate ,17987,10198,7747,42,7045,2017,842,1227,7,4583,1902,4861,13126,7086,10901,16.0,348.0,1049.0,172.0,46.0,2259.0
sp21,Professional ,1034,345,689,0,704,102,31,94,2,33,32,544,490,7,1027,0.0,36.0,44.0,12.0,3.0,130.0
su21,Undergraduate ,6361,3435,2925,1,2229,1211,598,813,0,1146,133,4334,2027,3417,2944,4.0,227.0,725.0,68.0,35.0,1392.0
su21,Graduate ,12037,6825,5172,40,4917,1501,535,864,4,2305,1671,3258,8779,5188,6849,18.0,222.0,669.0,115.0,40.0,1662.0
su21,Professional ,344,128,216,0,193,72,11,26,2,16,9,134,210,53,291,0.0,15.0,15.0,9.0,3.0,80.0
fa22,Undergraduate ,34942,18680,16235,27,13583,7593,2031,4712,11,5312,456,25363,9579,1075,33867,11.0,1233.0,2562.0,389.0,132.0,8667.0
fa22,Graduate ,20409,11554,8777,78,6839,2331,869,1289,13,7360,1328,4869,15540,7859,12550,17.0,363.0,1070.0,171.0,46.0,2609.0
fa22,Professional ,1293,471,819,3,778,171,43,127,1,64,64,582,711,40,1253,1.0,44.0,54.0,12.0,6.0,206.0
sp22,Undergraduate ,32973,17681,15268,24,13246,7079,1950,4558,11,4531,382,24491,8482,1741,31232,11.0,1205.0,2499.0,358.0,151.0,8119.0
sp22,Graduate ,19626,11060,8493,73,7080,2271,842,1313,10,6433,1314,4902,14724,7737,11889,18.0,345.0,1046.0,161.0,50.0,2533.0
sp22,Professional ,1172,422,749,1,747,138,37,110,3,49,48,576,596,19,1153,1.0,39.0,48.0,15.0,6.0,165.0
su22,Undergraduate ,6068,3420,2640,8,2016,1214,481,684,3,1360,105,3820,2248,3229,2839,2.0,203.0,612.0,55.0,24.0,1357.0
su22,Graduate ,12114,6875,5190,49,4379,1476,519,827,6,3681,1008,2840,9274,6196,5918,11.0,207.0,638.0,98.0,30.0,1640.0
su22,Professional ,379,154,225,0,191,95,11,28,0,17,18,135,244,53,326,0.0,19.0,15.0,6.0,3.0,109.0
sp23,Undergraduate ,33186,17598,15561,27,12985,7275,1885,4506,10,4784,538,24235,8951,1814,31372,10.0,1193.0,2401.0,364.0,126.0,8324.0
sp23,Graduate ,18818,10564,8182,72,6449,2247,784,1226,10,6483,1250,4587,14231,7705,11113,14.0,355.0,983.0,169.0,51.0,2517.0
sp23,Professional ,1267,464,802,1,772,172,41,127,0,53,55,581,686,35,1232,1.0,46.0,54.0,11.0,6.0,208.0
